,date,a,b,c,d,p
511,2016/02/03,1.2947549172125700,1.2020783864098400,1.2106544409551000,1.1634725197458200,1.249518199134940
512,2016/02/04,1.3111239269125500,1.2153279666134000,1.213635385430720,1.1676712544215300,1.2622502755279300
513,2016/02/05,1.2945670659008100,1.2106015452877000,1.216726477909780,1.181360680598530,1.2548587119016700
514,2016/02/15,1.3080853129316700,1.210068930365850,1.2193533322425300,1.1861092266081500,1.2616006030807100
515,2016/02/16,1.3124280297652500,1.2091204958147200,1.215210793892770,1.181513380337110,1.262341084774780
516,2016/02/17,1.3100436447867100,1.2074581352971600,1.215620658784440,1.1806847592287000,1.2606561911714800
517,2016/02/18,1.3185149871450200,1.207361132836460,1.2151690637957800,1.1808853950451200,1.2644442141925500
518,2016/02/19,1.337031689369810,1.2150489382397500,1.2236755082416700,1.1790763591081700,1.27630871092872
519,2016/02/22,1.3880441749709100,1.2340141242616500,1.2266474788292000,1.1800662290633200,1.3066615055996400
520,2016/02/23,1.3795762344657800,1.2374169744446200,1.2251056400858500,1.1770918770621800,1.3036470047380800
521,2016/02/24,1.394442482695960,1.2305381416241100,1.2245469797350500,1.1732414089804900,1.3074463742580800
522,2016/02/25,1.390508449355240,1.2331292048209300,1.2255777071779100,1.1756654545680400,1.306980735461380
523,2016/02/26,1.382792195956140,1.2227873224237200,1.2255115498274800,1.1794107258616800,1.3003345211495100
524,2016/02/29,1.4092951960588300,1.2256182203441800,1.2263730996854300,1.1832997849015800,1.3136328658876400
525,2016/03/01,1.4170568339211200,1.2203528977361200,1.236326183080440,1.1806051517286500,1.3161066507799100
526,2016/03/02,1.4215830103729100,1.224300001465850,1.240823701546400,1.1754542727033600,1.3195072604113500
527,2016/03/03,1.4126981548214400,1.2381396868549000,1.2421359782929500,1.1770014067305100,1.3208977933495500
528,2016/03/04,1.4352316497541100,1.2609556272587900,1.2610064062942900,1.1805218037899200,1.3414385467997200
529,2016/03/07,1.5539785784027300,1.2804630941620500,1.2776039530819300,1.1849251717031500,1.4043267953582000
530,2016/03/08,1.51978403551334,1.270152266427370,1.2572585219096500,1.1843017832999500,1.3836274146385100
531,2016/03/09,1.4911648525543300,1.238626307966700,1.2656593462845200,1.187094091793530,1.3615384473627600
532,2016/03/10,1.4932993423819400,1.2330303145513900,1.2551727419879100,1.1825893332763000,1.3586875517664200
533,2016/03/11,1.4863241582730200,1.2375568182998600,1.2534501783440500,1.1865356318966300,1.3575962615036700
534,2016/03/14,1.4897834767482800,1.2340924396193800,1.2515598015913400,1.1847600419958500,1.3574012591693200
535,2016/03/15,1.4841195023803100,1.2275691783672500,1.2485042554295800,1.1842974235831100,1.3521984305992500
536,2016/03/16,1.4925009067814700,1.230708995285460,1.2587882859018600,1.184557066871610,1.358187809733030
537,2016/03/17,1.5165979642590200,1.2338493907146000,1.2680240108967700,1.195561544031610,1.3719331126172700
538,2016/03/18,1.5404659234256300,1.2420971685185600,1.274761718316850,1.196506162938220,1.3860893498330800
539,2016/03/21,1.5522704336056800,1.2353396025113500,1.2753774422458700,1.1979895899319000,1.388964713507590
540,2016/03/22,1.54597205624601,1.229235295057170,1.2667188970679400,1.2039914055734400,1.3836517319878100
541,2016/03/23,1.5600176446729600,1.2291816306016300,1.2614350649024600,1.1974343638916500,1.3882663846652700
542,2016/03/24,1.5174414222488400,1.2265617613409100,1.262322055047950,1.1923155453973200,1.3691878640378600
543,2016/03/25,1.5459804726019800,1.2339348702931800,1.2602952050041700,1.2053071638538600,1.3851148600513100
544,2016/03/28,1.541036316108310,1.222446870525940,1.2595840851888500,1.2066719376013100,1.3788467826834200
545,2016/03/29,1.5448070622100500,1.22191750607144,1.2616253007949000,1.2091464691569500,1.3807380422812300
546,2016/03/30,1.531260244607760,1.2305649134517900,1.2564354380933300,1.2045657792559400,1.3772318714570100
547,2016/03/31,1.5472857918384600,1.2398469903879900,1.256336255030270,1.2065276551408600,1.3876349677173200
548,2016/04/01,1.5806840284455600,1.241147712373090,1.2609963748768900,1.2165897432689200,1.403886738341280
549,2016/04/05,1.5820332917376000,1.241695670151950,1.2613778522692200,1.2149326464293500,1.40453424887743
550,2016/04/06,1.5739610549329900,1.2320625115056300,1.256684948264310,1.2054293826494500,1.3960097536797100
551,2016/04/07,1.5793390901559400,1.2306389313776800,1.2560939858823500,1.2066089919988600,1.3977789983739900
552,2016/04/08,1.596219121085610,1.2294589000594200,1.2494075221733400,1.2026869614880200,1.403215470777560
553,2016/04/11,1.6476555931375200,1.2260806358216700,1.2481858458846100,1.2042953701400800,1.4238342962935700
554,2016/04/12,1.7030231066009200,1.229425173835320,1.2511126226558800,1.2066979600158000,1.4491400852276700
555,2016/04/13,1.7172124297314800,1.2426011344968300,1.2437605065123700,1.2159961923443200,1.4600419249557000
556,2016/04/14,1.7005828884320500,1.2510888093364700,1.2485793208344300,1.2196530716755700,1.4577887873702700
557,2016/04/15,1.6617985606767900,1.2414443306366400,1.2359548062250000,1.2092372027543400,1.4358678719863300
558,2016/04/18,1.745129787537760,1.2481633682421200,1.2404490994423200,1.231339861689510,1.4754343982596900
559,2016/04/19,1.8008526246084000,1.2472721712908800,1.2455224263854400,1.2383037673665300,1.4991299937066000
560,2016/04/20,1.8730816044023000,1.2507314434202100,1.2526714081975600,1.2541889888780300,1.5318979467566300
561,2016/04/21,1.9402050781358100,1.279617102338010,1.2712306734524500,1.2876501729602100,1.5758165983043800
562,2016/04/22,1.9214832622401600,1.2629650804745900,1.2516809561473200,1.2595477386563600,1.5562497778633200
563,2016/04/25,1.9592435754659700,1.2572405501811700,1.2590200392857100,1.2592879336672000,1.5698899221413800
564,2016/04/26,1.9281642076321200,1.2510556083301900,1.261636772177920,1.2666604259717900,1.5565157517823400
565,2016/04/27,1.8828963692605400,1.2541111312076200,1.2610163259351600,1.2574024583943000,1.5397171973258100
566,2016/04/28,1.892008358071810,1.250425502975320,1.2543884638059800,1.2498286357250300,1.539955004005830
567,2016/04/29,1.9124589675112400,1.2531187503545400,1.24958263019612,1.2474803176040200,1.5479572736257300
568,2016/05/03,1.8913600144422900,1.2642282962326200,1.2415033006943500,1.2508805561626200,1.5439182267973100
569,2016/05/04,1.8978347624744100,1.2574265110186300,1.2407453382862400,1.2486673519863500,1.54325798990381
570,2016/05/05,1.9155263201901900,1.2546627413060600,1.243928928042200,1.249281632862120,1.5494460450289300
571,2016/05/06,1.915537166406190,1.2411006390725800,1.2446659830119500,1.2399839217428300,1.543064489086570
572,2016/05/09,1.967600297743450,1.223751410590810,1.2513818812770300,1.2393508672397500,1.5573024114309600
573,2016/05/10,1.9439079990924600,1.220536052380300,1.2448940927884700,1.2375754343367800,1.5458891477941300
574,2016/05/11,1.946905093878450,1.2200652618246500,1.2398632854381500,1.253508743086310,1.5479534836409400
575,2016/05/12,1.9732186593910100,1.2191563763238700,1.240033499634860,1.24513482327371,1.5565904687445500
576,2016/05/13,1.9926173502656200,1.217043129232230,1.2456888955011600,1.2462040364777000,1.5638930936180700
577,2016/05/16,1.9770362123372300,1.216606775058430,1.239970469698740,1.2414136749383500,1.5565865576698300
578,2016/05/17,1.9608819867199300,1.2159998790413900,1.236987060634850,1.2406939493427300,1.5498264614639600
579,2016/05/18,1.960005694954130,1.2107664283057000,1.236638580818140,1.2414949077944200,1.547354409901970
580,2016/05/19,1.9611983331957200,1.2123009960451700,1.2387746008469100,1.2536236068065900,1.5501086347446100
581,2016/05/20,1.9528208333168100,1.2141946345773600,1.23787678534211,1.2522424920892800,1.5475307664481100
582,2016/05/23,1.9452286861404600,1.217633592612970,1.2436588256182800,1.260521693537880,1.5479134208971200
583,2016/05/24,1.947631831677380,1.2173851701776600,1.2429248648976300,1.2531952140075200,1.547783425886750
584,2016/05/25,1.9563693959637500,1.2181842337354300,1.2403546987656200,1.2500618218722300,1.550668359635070
585,2016/05/26,1.9428182318854500,1.2198246250132100,1.2355961700193600,1.2570091856684100,1.5464616154853400
586,2016/05/27,1.9491011539047700,1.223192433458660,1.2455579074369800,1.256343986782100,1.5515187442804200
587,2016/05/30,1.9428351371102,1.219951764598440,1.2433708742340300,1.2706340134308900,1.5491438056500200
588,2016/05/31,1.9418243000282400,1.2201101328834200,1.2430288910141100,1.2622706298014300,1.5478582599965700
