index,,mac16,mac2,mac32,mac4,mac8
2020-07-12,mac2,0.5406784888986932,1.0,-0.0407073273478412,0.9401412266660542,0.8478505454120164
2020-07-12,mac32,0.04402083881244037,-0.0407073273478412,1.0,-0.05186786176841217,-0.054920645362618335
2020-07-12,mac4,0.5580042158475318,0.9401412266660542,-0.05186786176841217,1.0,0.9152916024483361
2020-07-12,mac8,0.7052187252366088,0.8478505454120164,-0.054920645362618335,0.9152916024483361,1.0
2020-07-19,mac16,1.0,0.5399353983751687,0.014616277530704339,0.5553854534876469,0.7015510018191669
2020-07-19,mac2,0.5399353983751687,1.0,-0.035247689166414256,0.9396894653027743,0.8471336470904872
2020-07-19,mac32,0.014616277530704339,-0.035247689166414256,1.0,-0.030215718533783287,-0.02799115803598708
2020-07-19,mac4,0.5553854534876469,0.9396894653027743,-0.030215718533783287,1.0,0.9153591555996645
2020-07-19,mac8,0.7015510018191669,0.8471336470904872,-0.02799115803598708,0.9153591555996645,1.0
2020-07-26,mac16,1.0,0.23561853148197728,-0.39633918269816104,0.3882658348040185,0.6289394415012903
2020-07-26,mac2,0.23561853148197728,1.0,0.46852876556791784,0.9181457129693714,0.7554214780407095
2020-07-26,mac32,-0.39633918269816104,0.46852876556791784,1.0,0.24266883099503206,0.023259841975493186
2020-07-26,mac4,0.3882658348040185,0.9181457129693714,0.24266883099503206,1.0,0.8926026008422498
2020-07-26,mac8,0.6289394415012903,0.7554214780407095,0.023259841975493186,0.8926026008422498,1.0
2020-08-02,mac16,1.0,0.11773531836925913,-0.36816231237077796,0.21299989125096733,0.5225243794114913
2020-08-02,mac2,0.11773531836925913,1.0,0.6800655919542116,0.9540823343033289,0.8007533661800935
2020-08-02,mac32,-0.36816231237077796,0.6800655919542116,1.0,0.5636942020519062,0.2847934354901452
2020-08-02,mac4,0.21299989125096733,0.9540823343033289,0.5636942020519062,1.0,0.8807038740266759
2020-08-02,mac8,0.5225243794114913,0.8007533661800935,0.2847934354901452,0.8807038740266759,1.0
2020-08-09,mac16,1.0,0.11346443401033447,-0.35110733451065135,0.2269669908585677,0.5352112112476519
2020-08-09,mac2,0.11346443401033447,1.0,0.6793864639422765,0.949497160561447,0.7921788571615122
2020-08-09,mac32,-0.35110733451065135,0.6793864639422765,1.0,0.5642505060022152,0.2868304506158838
2020-08-09,mac4,0.2269669908585677,0.949497160561447,0.5642505060022152,1.0,0.8812283878159669
2020-08-09,mac8,0.5352112112476519,0.7921788571615122,0.2868304506158838,0.8812283878159669,1.0
2020-08-16,mac16,1.0,0.09296338247208195,-0.34639829979421566,0.21589552871900203,0.5315470874707475
2020-08-16,mac2,0.09296338247208195,1.0,0.67631615063729,0.9479281568768454,0.7848171689898729
2020-08-16,mac32,-0.34639829979421566,0.67631615063729,1.0,0.5639660021243879,0.28657460082202946
2020-08-16,mac4,0.21589552871900203,0.9479281568768454,0.5639660021243879,1.0,0.8789645273369769
2020-08-16,mac8,0.5315470874707475,0.7848171689898729,0.28657460082202946,0.8789645273369769,1.0
2020-08-23,mac16,1.0,0.09796810116742402,-0.3316095375526107,0.2246104064656616,0.535381152009628
