,tr_date,tr_datetime,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price
585,20160526,2016/05/26 00:00:00,3754.959815067918,3740.532459221108,3768.42534719164,3694.364920511248,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-14.427356,-0.384221,0.996158,True,True,0.9260542248543665,0_0.0,-1,0,0,0,0,75.743618,81.868172,3726.627262,False,0.0,0.0
586,20160527,2016/05/27 00:00:00,3728.028750820505,3841.523950148908,3842.485773872027,3709.754100081198,,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,113.495199,3.044376,1.030444,True,True,0.9260542248543665,0_0.0,-1,0,0,0,0,79.590913,81.019504,3732.812549,False,0.0,0.0
587,20160530,2016/05/30 00:00:00,3836.714831533281,3836.714831533298,3860.760424611344,3804.012824947145,,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0.0,0.0,1.0,True,True,0.9260542248543665,0_0.0,-1,0,0,0,0,91.61371,83.961553,3738.300133,False,0.0,0.0
588,20160531,2016/05/31 00:00:00,3813.631062178355,3768.425347191643,3859.798600888222,3765.539876022269,,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,-45.205715,-1.185372,0.988146,True,True,0.9260542248543665,0_0.0,-1,0,0,0,0,83.438208,83.50893,3741.263445,False,0.0,0.0
589,20160601,2016/06/01 00:00:00,3761.692581129772,3677.052093495061,3770.348994637885,3663.586561371347,,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,-84.640488,-2.250064,0.977499,True,True,0.9260542248543665,0_0.0,-1,0,0,0,0,89.449607,80.170836,3743.602332,False,0.0,0.0
590,20160602,2016/06/02 00:00:00,3705.906805188702,3695.326744234378,3730.914221989887,3678.975740941297,,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,-10.580061,-0.285492,0.997145,True,True,0.9260542248543665,0_0.0,-1,0,0,0,0,97.625108,80.453726,3745.014558,False,0.0,0.0
591,20160603,2016/06/03 00:00:00,3717.448689866164,3697.250391680622,3735.723340605496,3672.242974879444,,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,-20.198298,-0.543338,0.994567,True,True,0.9260542248543665,0_0.0,-1,0,0,0,0,77.907721,77.964299,3747.111333,False,0.0,0.0
592,20160606,2016/06/06 00:00:00,3656.853795309484,3796.318235162179,3799.203706331542,3656.853795309494,,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,139.46444,3.813782,1.038138,True,True,0.9258690140093957,触发开仓_0.0,1,1,1,0,0,79.590913,76.776164,3750.189169,False,0.0,0.0
593,20160607,2016/06/07 00:00:00,3792.470940269673,3808.821943562763,3820.363828240224,3768.425347191635,,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,16.351003,0.431144,1.004311,True,,0.9239905072602009,0_3673.44928379566,2,1,1,0,0,91.613709,81.415549,3753.45937,False,3792.470940269673,3673.44928379566
594,20160608,2016/06/08 00:00:00,3784.776350484698,3789.585469100325,3806.898296116518,3770.348994637879,,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,4.809119,0.127065,1.001271,True,,0.919294240387214,0_3673.44928379566,2,1,1,0,0,77.907721,78.416922,3756.902699,False,3792.470940269673,3673.44928379566
